S.No,Company,Category,Priority,Why Suitable / Key Fit,Suggested Contact Approach,Status,Contact Person,Email / LinkedIn,Date Contacted,Follow-up Date,Response,Amount / In-kind Secured,Notes / Ask
1,TechByHeart (TBH),Cybersecurity Training & Services,High,"Past Gateways sponsor (multiple years); Bangalore presence; strong college MoUs & workshops in cyber/AI",LinkedIn + Bangalore branch + website,,,,,,
2,Samsung (SRI-B / Innovation Campus),Electronics / R&D / AI-IoT,High,"Existing Samsung Innovation Campus partnership with Christ University (AI/ML, IoT, coding)",Christ CPCG + SRI-B CSR / Innovation Campus team,,,,,,
3,IBM,Tech / AI / Consulting,High,"Strong SkillsBuild education programs + academic engagements with Christ; major recruiter",University Relations / CSR + Christ CPCG,,,,,,
4,Lin & S Technologies,Product Development / Tech Services,High,Confirmed past Gateways sponsor,Past event contacts or LinkedIn,,,,,,
5,SM Express,Logistics / Services,High,Confirmed past Gateways sponsor,Past event contacts or LinkedIn,,,,,,
6,MyPerfectPack,Packaging / E-comm,Medium,Confirmed past Gateways sponsor,Past event contacts,,,,,,
7,Poorvika,Electronics Retail,Medium,Confirmed past Gateways sponsor,Marketing / Bangalore partnerships,,,,,,
8,L&T EduTech,EdTech / IT,High,"Recent MoU with Christ University for IT & Computer Science programs",Institutional Connect / CSR team,,,,,,
9,DataArt,Software / AI / Data,High,"Partnered with Christ on IT Museum – India; ongoing workshops & education programs",University Relations / Bangalore office,,,,,,
10,Spharaka Networks,AI-Driven Cybersecurity,High,MoU with Christ University on AI cybersecurity research,LinkedIn / Partnerships,,,,,,
11,Infosys,IT Services,High,"Infosys Springboard + major recruiter at Christ",CSR / Springboard / Campus via CPCG,,,,,,
12,Wipro,IT Services,High,Strong Bangalore CSR & campus programs,CSR / Campus via CPCG,,,,,,
13,TCS,IT Services,High,Extensive education initiatives + large recruiter,CSR / Academic Interface via CPCG,,,,,,
14,HCLTech,IT Services,High,Strong Bangalore presence + education CSR,CSR / University Relations via CPCG,,,,,,
15,Cognizant,IT Services,High,Major recruiter at Christ,Campus / CSR via CPCG,,,,,,
16,Accenture,Consulting / IT,High,Strong tech & campus presence,University Relations / CSR via CPCG,,,,,,
17,Tech Mahindra,IT Services,Medium,Campus + digital skilling focus,CSR / Campus,,,,,,
18,Capgemini,Consulting / IT,Medium,Education partnerships & recruiting,CSR / Campus,,,,,,
19,LTIMindtree,IT Services,Medium,Heavy Bangalore presence,CSR / Campus,,,,,,
20,Deloitte,Consulting (Tech),Medium,Tech arms + campus hiring,Campus / CSR,,,,,,
21,EY,Consulting (Tech),Medium,Past Gateways speaker,Campus / CSR,,,,,,
22,Google / Google Cloud,Product / Cloud / AI,High,Education & AI training programs,Google for Education / University Relations,,,,,,
23,Microsoft,Product / Cloud / AI,High,Microsoft Learn + Azure for Students,Education / University Relations,,,,,,
24,Amazon / AWS,Product / Cloud,High,AWS Educate / AI Ready programs,AWS Educate / CSR / University,,,,,,
25,SAP Labs,Enterprise Software,High,Major Bangalore campus + education focus,University Relations / CSR,,,,,,
26,Oracle,Enterprise Software,Medium,Strong education & campus programs,Academic / CSR,,,,,,
27,Cisco,Networking / Security,Medium,Networking Academy + CSR education,CSR / Education,,,,,,
28,Adobe,Software,Medium,Education & student programs,Education / University Relations,,,,,,
29,Intel,Semiconductors / AI,Medium,AI for Youth & STEM programs,CSR / Education,,,,,,
30,Dell Technologies,Hardware / IT,Medium,Education initiatives + recruiter,CSR / Campus,,,,,,
31,NVIDIA,AI / GPUs,Medium,Growing Bangalore AI education focus,Developer / Education / CSR,,,,,,
32,AMD,Semiconductors,Medium,Strong Karnataka STEM CSR,CSR India,,,,,,
33,Flipkart,E-commerce / Tech,Medium,Bangalore HQ + tech talent focus,Campus / CSR / Marketing,,,,,,
34,PhonePe,Fintech,Medium,Bangalore + strong tech hiring,Campus / Marketing,,,,,,
35,Razorpay,Fintech,Medium,Bangalore product company,Marketing / Campus,,,,,,
36,Zoho,SaaS / Product,Medium,Education-friendly Indian company,Partnerships / Education,,,,,,
37,Freshworks,SaaS,Medium,Bangalore + campus engagement,Campus / Marketing,,,,,,
38,BYJU'S / Unacademy / UpGrad / Simplilearn / Edureka,Edtech,Medium,Perfect student + skilling fit,Partnerships / Marketing,,,,,,
39,ISARVA Infotech,IT Services,Medium,Recent MoU with Christ CS Dept (internships/placements),Partnerships via CS Dept,,,,,,
40,RDL Technology,Tech / IT,Medium,Recent MoU with Christ CS Dept,Partnerships via CS Dept,,,,,,
